Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
e78d9862-1dc4-49fa-941e-9b0956fc24db,"2019-12-14, 10:54:14 PM",root,CreateServiceLinkedRole,,,,us-east-1,,servicequotas.amazonaws.com
9e4a15ab-fb5a-45ca-863c-49113c571b7f,"2019-12-14, 10:26:04 PM",root,ConsoleLogin,,,,us-east-1,,118.6.145.224
a43ad1f6-b8d7-47a6-a22e-581667a9964f,"2019-12-13, 11:02:26 PM",root,ConsoleLogin,,,,us-east-1,,118.6.145.224
0c07d40b-511d-41f4-b89b-40b372b6027e,"2019-12-13, 10:13:38 AM",root,ConsoleLogin,,,,us-east-1,,210.172.128.230
87f14e08-ae78-4cd3-b606-7361354d3dd7,"2019-12-13, 10:12:00 AM",root,ConsoleLogin,,,,us-east-1,,210.172.128.230
47505b58-cb84-4a43-ae34-42cd22446021,"2019-12-13, 12:14:51 AM",root,CreateAccessKey,IAM AccessKey,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAI3EUG2GSVS7VJWIQ""}]",,us-east-1,,118.6.145.224
179ca33e-0e16-4e07-b90e-eb4ca81f37fa,"2019-12-12, 09:43:46 PM",CloudTrail,ChangePassword,,,,us-east-1,,118.6.145.224
578af0ee-960a-4485-9211-92e11c214dd8,"2019-12-12, 09:35:20 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,118.6.145.224
29f006cf-d2ca-4744-afe7-3c83f60b723a,"2019-12-12, 09:35:08 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,118.6.145.224
54889d81-77dc-436c-8dee-cc42909870ab,"2019-12-12, 09:34:34 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,118.6.145.224
ffbbb53d-f1ab-4458-82ae-74b21bc3cf3a,"2019-12-12, 09:34:33 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,118.6.145.224
0357066f-7401-48fb-8773-a3787176c2cb,"2019-12-12, 09:34:32 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::813173407724:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA32VHJP7WLBOXFITLE""}]",,us-east-1,,118.6.145.224
ec7df960-e4ab-453b-b200-38b96cacff09,"2019-12-12, 09:34:32 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::813173407724:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA32VHJP7WCQJBSTNBD""}]",,us-east-1,,118.6.145.224
ad279722-526a-43f6-b085-5d5e65532819,"2019-12-12, 09:29:12 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::813173407724:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA32VHJP7WAREB5L2MI""}]",,us-east-1,,118.6.145.224
d8b6fe1d-43a0-4224-9b60-c283cd36bb7b,"2019-12-12, 09:29:12 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,118.6.145.224
5072fb75-716d-486e-8e12-efe44b5b8c54,"2019-12-12, 09:28:19 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,118.6.145.224
9ff688fc-7eee-4605-b09f-54a3e5f0d7ff,"2019-12-12, 09:28:19 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::813173407724:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA32VHJP7WHFP3UW6CH""}]",,us-east-1,,118.6.145.224
a7254937-38b3-4f64-a63d-95a35e680e98,"2019-12-12, 09:28:19 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,118.6.145.224
10569263-b13b-4282-a731-3308ed1acdf2,"2019-12-12, 09:26:34 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,118.6.145.224
